Original Variable,Importance_DT,Importance_RF,Importance_XGB
Debtor Status,0.1239840779415477,0.0944712014337183,0.12344545
Age Bracket,0.1306986727241199,0.1710293420485456,0.017263534
Posted Billing Group,0.158468798325192,0.1761739237138488,0.211952
ICD10 Chapter,0.0763410931452094,0.1770107690971579,0.111021854
Facility Type,0.2646493444466511,0.1824983433823754,0.21101001
Specialty,0.2458580134172798,0.1988164203243539,0.32530716
