Predictor,Mean Abs SHAP,SHAP % of Total,Mean SHAP,Median SHAP,Std SHAP,Max SHAP,Min SHAP,RF Gini Importance,DT Gini Importance
Facility Type,0.08923783049441457,28.969659383070113,-0.01633465875100486,-0.038418640623587345,0.1003464166757944,0.34785497734618953,-0.3379621131164559,0.1988,0.2459
Specialty,0.06040270914077313,19.608790351894275,-0.011227673235402972,0.0014455931258253035,0.08092502072560336,0.2396850045222307,-0.4246380400130497,0.1825,0.2646
ICD10 Chapter,0.04798473691791687,15.577490806270644,-0.016801509680167127,-0.022471636402466934,0.057859939026167796,0.2219177691030067,-0.29704295709737344,0.177,0.0763
Posted Billing Group,0.04675750975424471,15.179090792282643,-0.01231369585042155,0.003391880808050979,0.06527285344232525,0.23480654787901434,-0.4113545188939678,0.1762,0.1585
Age Bracket,0.045088666093726686,14.637326922173441,-0.01620487199656489,0.016029814099075945,0.08807023306840348,0.11826252748732749,-0.5839900659790281,0.171,0.1307
Debtor Status,0.018567483488398876,6.027641744308887,-0.0062058164231319326,-0.011560195309469189,0.04102135794442588,0.40775843369509956,-0.38925733191078726,0.0945,0.124
