Original Variable,Importance
Specialty,0.19881642032435398
Facility Type,0.18249834338237542
ICD10 Chapter,0.17701076909715793
Posted Billing Group,0.17617392371384888
Age Bracket,0.1710293420485456
Debtor Status,0.09447120143371839
