Age Bracket,Posted Billing Group,Specialty,Debtor Status,ICD10 Chapter,Facility Type
0.064364076,-0.270592,-0.41381338,-0.009964822,0.057892393,0.48844308
0.08442216,0.06735926,0.26337734,-0.056214295,0.34642437,-0.28764284
0.072326444,-0.07337285,0.1619773,-0.0063260524,0.030584868,0.40945092
0.06810942,0.11332611,-0.015023738,-0.08450371,0.19275151,-0.12857431
0.07207068,0.18233432,0.29006752,-0.06934013,0.4133658,-0.25468263
0.062108796,0.14257297,-0.604974,-0.06860344,-0.099947296,0.30310124
0.08690974,-0.23919702,0.22582598,-0.0045855916,0.32501435,0.7218089
0.06292792,0.19108209,0.20577088,-0.01403013,-0.09634673,0.39343068
0.12249366,0.09838058,-0.1662506,-0.090945184,-0.07817035,-0.029698946
0.09704025,0.14831714,-0.10089808,-0.066195585,-0.22649345,-0.4529994
-1.7720047,-0.47781274,-1.5971911,-0.08551848,-0.12103367,-0.4665407
-0.85386837,-0.27830872,0.11772597,-0.043007888,-0.10884333,-0.5212572
0.08233158,1.2552191,0.08570045,-0.066566356,0.22139467,-0.29870558
0.07186881,0.31542417,-0.61899495,-0.09846033,-0.1745218,-0.5514997
0.08903837,-0.75310963,-0.023670882,-0.09372752,-0.36141607,-0.6518809
0.08442216,0.06735926,0.26337734,-0.056214295,0.34642437,-0.28764284
0.072326444,-0.07337285,0.1619773,-0.0063260524,0.030584868,0.40945092
0.061376527,0.08956506,0.13353437,-0.08687599,0.11443358,-0.33135977
0.072326444,-0.07337285,0.1619773,-0.0063260524,0.030584868,0.40945092
0.06985408,0.18245608,0.22641407,0.052708015,0.36825812,0.11349726
-0.5464088,-0.96919847,0.07539664,-0.118272714,-0.38636994,-0.58607054
0.11615225,-0.041737072,0.68546355,-0.06466573,0.28470072,-0.31642768
0.03714678,0.050792225,-1.1348383,-0.030827645,-0.15841824,-0.10777181
0.1466199,0.0955456,-0.8840399,-0.055102196,-0.10639731,-0.54518706
0.13644885,0.014140442,-0.5728915,-0.031477325,-0.099438235,-0.19511583
0.071621746,0.09873439,-0.19198981,-0.100936405,-0.095729195,-0.17611875
0.03714678,0.050792225,-1.1348383,-0.030827645,-0.15841824,-0.10777181
0.09891105,0.38281935,0.24507938,-0.026051309,-0.25966904,-0.23442051
0.045246363,0.16367711,0.23410147,-0.02985477,0.06804302,0.60530806
0.09375845,-0.09152229,0.05294267,0.010213751,0.083080605,0.58848184
0.0704322,0.28122866,-0.14934021,-0.033208456,0.2816171,-0.5595582
0.08998987,-0.045253765,0.108680226,0.014924413,-0.20379356,0.654931
0.09891105,0.38281935,0.24507938,-0.026051309,-0.25966904,-0.23442051
0.10042707,0.11555671,0.22205757,-0.07116811,0.059036665,-0.49289155
0.0113853505,0.016347414,-0.7426231,-0.0814446,0.31181943,0.17086384
0.061376527,0.08956506,0.13353437,-0.08687599,0.11443358,-0.33135977
0.08903837,-0.75310963,-0.023670882,-0.09372752,-0.36141607,-0.6518809
0.06084537,-0.15879937,-0.88872904,-0.094484285,-0.17899176,0.03889426
0.05573866,-0.082230024,0.20452711,-0.0022294242,0.23895787,0.37305826
-0.21151169,-0.054721635,-0.1359198,0.020101063,-0.25577164,0.57420844
0.11197821,-0.15848339,-0.23495105,-0.06520487,-0.6214393,-0.518461
0.05693527,-0.115536995,-0.2903717,-0.02722231,0.017942084,0.58235013
0.10378193,0.4103573,0.17469941,-0.058863766,0.12849125,-0.27299398
0.062108796,0.14257297,-0.604974,-0.06860344,-0.099947296,0.30310124
-2.7407954,-0.05730976,-0.45716804,-0.027070584,-0.6724212,-1.077055
0.06586865,-0.27296093,-0.4432999,-0.15346943,-0.11013622,-0.6087793
0.05680936,0.30416024,0.32878327,-0.02606927,0.2489274,0.713606
0.046577647,-0.0035979208,0.029966665,-0.039219417,-0.47187555,0.3744026
0.1176125,-0.10159022,0.12056397,-0.076054916,-0.40995035,-0.676177
0.1098243,-0.40935346,0.15108389,-0.018180016,-0.3655073,0.7557488
0.07849881,-1.098782,-0.14935765,-0.10327636,-0.4969944,-0.66996324
0.08787833,0.03161761,0.11740573,-0.05985552,0.058058966,-0.49860206
0.07849881,-1.098782,-0.14935765,-0.10327636,-0.4969944,-0.66996324
0.06586865,-0.27296093,-0.4432999,-0.15346943,-0.11013622,-0.6087793
0.03147114,0.8025411,-1.0348511,-0.017871358,-0.30593053,-0.08769587
0.07603373,-0.60656726,0.26514208,-0.06969009,-0.35024166,-1.2374529
0.11839707,0.607764,-0.059085637,-0.029414428,-0.3634634,-0.3523646
0.106999815,-0.3064214,0.13405606,-0.0028832213,0.032129306,0.74121636
0.0937316,0.13572827,-0.15602997,0.019027848,0.12673366,0.69350636
0.048178308,1.369654,-0.67439526,-0.04718846,0.48022607,-0.057962686
0.1176125,-0.10159022,0.12056397,-0.076054916,-0.40995035,-0.676177
-0.37345335,0.15938973,-0.21332464,-0.08511708,-0.12134414,-0.16615546
0.09891105,0.38281935,0.24507938,-0.026051309,-0.25966904,-0.23442051
0.06362832,0.11997717,-0.4057765,-0.08568372,-0.26661304,-0.49742362
0.10233487,0.1577654,-0.48915356,-0.045358364,-0.23469521,0.5849581
0.08592628,0.04750576,0.014752461,-0.06627503,-0.18058726,-0.38836792
0.13460055,0.121300116,0.22027528,-0.0565976,0.0027171094,-0.80687606
-0.010437454,-0.1503526,-1.7253258,-0.01944971,-0.42362988,0.08629428
0.08787833,0.03161761,0.11740573,-0.05985552,0.058058966,-0.49860206
0.04044431,-0.19701146,0.16520965,-0.04778273,0.3150999,0.33000275
0.08794781,0.10344854,0.4445192,-0.047069486,0.42517582,-0.10139945
-3.1856704,-0.7567496,0.13993819,-0.011959538,0.67705643,0.24753281
-0.37345335,0.15938973,-0.21332464,-0.08511708,-0.12134414,-0.16615546
0.08903837,-0.75310963,-0.023670882,-0.09372752,-0.36141607,-0.6518809
0.11197821,-0.15848339,-0.23495105,-0.06520487,-0.6214393,-0.518461
0.0704322,0.28122866,-0.14934021,-0.033208456,0.2816171,-0.5595582
-0.36632568,0.3830397,0.058308553,-0.043524325,0.1092879,-0.4180178
0.12826802,0.28730914,0.67615634,0.7814908,-0.12485554,0.29586968
0.124936305,0.16503422,-0.16133186,-0.073488764,-0.050949223,-0.41678858
0.046577647,-0.0035979208,0.029966665,-0.039219417,-0.47187555,0.3744026
0.07985456,-0.8542071,-0.37106538,-0.11514891,-0.037240107,-0.6185292
0.13001978,-0.20412701,-0.10850858,-0.07931952,-0.120178774,-0.30191925
0.12249366,0.09838058,-0.1662506,-0.090945184,-0.07817035,-0.029698946
0.12249366,0.09838058,-0.1662506,-0.090945184,-0.07817035,-0.029698946
0.12249366,0.09838058,-0.1662506,-0.090945184,-0.07817035,-0.029698946
-2.3093543,0.37981826,0.1679814,0.023498265,-0.0355846,-0.27331266
-0.10707672,-0.38688067,0.5896256,-0.0430581,-0.45401433,0.5512361
0.045246363,0.16367711,0.23410147,-0.02985477,0.06804302,0.60530806
0.089251556,0.17462161,0.09585011,-0.06157408,0.09572916,-0.35516474
0.10310926,-0.52192795,-0.58306766,-0.09974713,0.15210178,-0.7952636
0.05680936,0.30416024,0.32878327,-0.02606927,0.2489274,0.713606
0.1069579,0.0738351,-0.16385137,-0.10038714,-0.062039204,-0.2695925
0.15572973,0.52894485,0.1132552,-1.1490754,-1.3575696,-0.11130449
0.018223241,-0.37086478,-0.09395849,-0.06627443,-0.14383397,-0.9486153
-6.1832047,-0.078515545,-1.1253598,0.06501031,0.508296,0.111879915
0.087475054,-0.028164767,0.0018758178,-0.03156225,-0.05880104,0.45699212
0.123379774,0.6657393,-0.054112136,-0.09613817,-0.029479723,0.03277645
0.111754715,0.11444308,0.2983094,-0.068515785,0.010841949,0.9581718
0.086888224,-0.60530734,-0.6050857,-0.011752064,-0.016488366,0.37876344
0.08442216,0.06735926,0.26337734,-0.056214295,0.34642437,-0.28764284
0.08592628,0.04750576,0.014752461,-0.06627503,-0.18058726,-0.38836792
0.062403675,0.6888085,-0.15891498,-0.0466945,-0.29114464,-0.18263942
0.090306416,0.023372073,0.26098022,-0.053126276,0.17230356,0.74702036
0.13010849,0.40232435,-0.16900294,-0.023291884,-0.34860504,-0.5852148
0.4849223,0.08369037,-0.28555164,-0.022866132,-0.061874233,0.15483728
0.056322042,-0.54161555,0.15829313,-0.10244886,0.137449,-0.6175518
0.045246363,0.16367711,0.23410147,-0.02985477,0.06804302,0.60530806
0.061376527,0.08956506,0.13353437,-0.08687599,0.11443358,-0.33135977
0.066277556,-0.69975555,-1.2984333,-0.10537895,-0.37653604,-0.80056006
0.06586865,-0.27296093,-0.4432999,-0.15346943,-0.11013622,-0.6087793
0.09959151,-0.10819949,0.2355598,-0.0956967,-0.03358832,0.6342522
0.062108796,0.14257297,-0.604974,-0.06860344,-0.099947296,0.30310124
0.106999815,-0.3064214,0.13405606,-0.0028832213,0.032129306,0.74121636
0.057562854,0.0076090526,0.12674272,-0.00088018214,-0.0020006187,0.6334375
0.1427004,0.34460485,-0.33306044,-0.0016143853,-0.44151735,-0.18903883
0.09483204,0.12645362,-0.17873308,-0.08609873,0.14293134,-0.10248689
0.046577647,-0.0035979208,0.029966665,-0.039219417,-0.47187555,0.3744026
0.15103099,0.12623344,-0.39540458,-0.09210828,-0.4764211,-0.47324777
0.03322018,0.10553113,0.027821528,-0.03490275,-0.11694635,-0.7360964
0.123379774,0.6657393,-0.054112136,-0.09613817,-0.029479723,0.03277645
0.057562854,0.0076090526,0.12674272,-0.00088018214,-0.0020006187,0.6334375
0.1176125,-0.10159022,0.12056397,-0.076054916,-0.40995035,-0.676177
0.15103099,0.12623344,-0.39540458,-0.09210828,-0.4764211,-0.47324777
0.07603373,-0.60656726,0.26514208,-0.06969009,-0.35024166,-1.2374529
0.056498874,0.14179839,0.05001576,-0.08322759,-0.17988974,-0.64896333
0.073189855,0.13072723,0.37056896,0.3609438,0.21634465,0.49570158
0.09375845,-0.09152229,0.05294267,0.010213751,0.083080605,0.58848184
0.1402626,0.03910954,0.3945776,-0.033272695,0.030179378,0.84228045
-0.367187,0.03853247,-0.0765159,0.007510287,0.1961509,0.4222601
0.09479372,0.062231492,-0.19439122,-0.05390373,-0.25400472,0.5674198
0.7255287,0.30287135,0.26698008,-0.026204605,0.49264306,0.15928194
-4.1661625,-0.37456635,-0.26416144,0.022377415,-0.95585865,0.26971895
0.07680441,0.03511426,0.12014939,-0.046508532,0.30078974,-0.49025735
-0.7176878,-0.054066222,0.056780927,-0.028534604,-0.20143582,-0.55528456
0.009163437,-0.0015088199,-1.0472363,-0.09674111,0.4923696,-0.6692243
0.05680936,0.30416024,0.32878327,-0.02606927,0.2489274,0.713606
-3.0067158,-0.03399741,-0.51876616,-0.03148662,-0.0963017,-0.50602055
0.05680936,0.30416024,0.32878327,-0.02606927,0.2489274,0.713606
0.06586865,-0.27296093,-0.4432999,-0.15346943,-0.11013622,-0.6087793
0.12249366,0.09838058,-0.1662506,-0.090945184,-0.07817035,-0.029698946
0.06084537,-0.15879937,-0.88872904,-0.094484285,-0.17899176,0.03889426
0.084997684,0.079070486,-0.33436954,-0.070978254,-0.17069072,-0.47104126
0.14068358,0.46943572,-0.120413974,-0.035252426,-0.24601537,-0.19285473
0.100598134,0.14693429,0.38762668,-0.036402456,0.054346837,0.6445099
0.072326444,-0.07337285,0.1619773,-0.0063260524,0.030584868,0.40945092
0.1427004,0.34460485,-0.33306044,-0.0016143853,-0.44151735,-0.18903883
-3.0067158,-0.03399741,-0.51876616,-0.03148662,-0.0963017,-0.50602055
0.087475054,-0.028164767,0.0018758178,-0.03156225,-0.05880104,0.45699212
-3.0067158,-0.03399741,-0.51876616,-0.03148662,-0.0963017,-0.50602055
0.05680355,-0.17833766,0.12040547,-0.034153603,-0.07007347,0.44068003
-0.3236736,-0.46735367,0.32587674,-0.031968366,-0.23215126,0.5191197
0.11910248,0.18521039,0.47929513,-0.028446566,0.3792393,-0.09787521
0.14068358,0.46943572,-0.120413974,-0.035252426,-0.24601537,-0.19285473
-0.22074093,0.14644651,0.15695244,-0.065554366,-0.15198752,-0.5027694
0.07556201,-0.1857515,0.14234269,-0.03654767,-0.0018816665,0.71505165
0.08787833,0.03161761,0.11740573,-0.05985552,0.058058966,-0.49860206
-0.8924037,-0.72806084,0.19057962,-0.06903539,-0.18799222,-0.68755007
0.16589582,0.10883589,0.027868899,-0.08316607,-0.13033913,-0.2632971
0.08146289,0.7229309,0.21144639,-0.022597278,0.15205538,0.42831552
0.08592628,0.04750576,0.014752461,-0.06627503,-0.18058726,-0.38836792
0.068632565,-0.9222929,-0.57343507,-0.12538111,-0.1754764,-0.703684
0.05680355,-0.17833766,0.12040547,-0.034153603,-0.07007347,0.44068003
0.05573866,-0.082230024,0.20452711,-0.0022294242,0.23895787,0.37305826
0.13001978,-0.20412701,-0.10850858,-0.07931952,-0.120178774,-0.30191925
0.123379774,0.6657393,-0.054112136,-0.09613817,-0.029479723,0.03277645
0.066277556,-0.69975555,-1.2984333,-0.10537895,-0.37653604,-0.80056006
0.08592628,0.04750576,0.014752461,-0.06627503,-0.18058726,-0.38836792
0.08442216,0.06735926,0.26337734,-0.056214295,0.34642437,-0.28764284
0.09483204,0.12645362,-0.17873308,-0.08609873,0.14293134,-0.10248689
0.15103099,0.12623344,-0.39540458,-0.09210828,-0.4764211,-0.47324777
-0.007881234,0.02232467,-0.96676016,-0.03221902,-0.21121293,-0.20047015
0.12530239,0.75799185,0.18187675,-0.03514182,0.15670228,0.41298637
0.08637328,0.18208848,0.12364174,-0.048469502,0.3790917,-0.32360393
-1.0578464,0.13955405,0.6961888,0.75203824,0.38485038,0.27466384
-0.49838272,0.39582217,0.37834793,-0.0454995,0.42111635,-0.2584644
-0.22074093,0.14644651,0.15695244,-0.065554366,-0.15198752,-0.5027694
0.07174552,-1.1429513,-0.8791643,-0.004403532,-0.6402729,0.6654471
-1.3357586,-1.3720074,-1.283427,-0.004031346,-1.197425,0.19819191
0.07630033,0.057935596,0.2334237,0.69194967,0.23550159,-0.11679873
0.087475054,-0.028164767,0.0018758178,-0.03156225,-0.05880104,0.45699212
0.11122195,0.120136425,0.5691424,-0.02875896,0.36819586,-0.33857545
-3.0007312,-0.8877187,0.38656557,0.032192472,0.017962545,0.3938694
0.16589582,0.10883589,0.027868899,-0.08316607,-0.13033913,-0.2632971
0.068632565,-0.9222929,-0.57343507,-0.12538111,-0.1754764,-0.703684
0.062403675,0.6888085,-0.15891498,-0.0466945,-0.29114464,-0.18263942
0.08592628,0.04750576,0.014752461,-0.06627503,-0.18058726,-0.38836792
0.102381684,0.12911467,0.1448579,-0.07342286,-0.1358939,-0.42850685
0.07186881,0.31542417,-0.61899495,-0.09846033,-0.1745218,-0.5514997
0.104932696,0.77221465,0.19329229,-0.017907256,-0.44959906,-0.32428703
0.06292792,0.19108209,0.20577088,-0.01403013,-0.09634673,0.39343068
0.104825266,-0.26434004,-0.17730993,-0.07684763,-1.2671006,-0.4956674
0.104480654,0.13601735,0.047049157,-0.05180356,0.021821443,0.74981505
0.06084537,-0.15879937,-0.88872904,-0.094484285,-0.17899176,0.03889426
-0.38186124,-0.01202857,-0.21325868,-0.057487767,-0.24999583,-0.473335
0.05680355,-0.17833766,0.12040547,-0.034153603,-0.07007347,0.44068003
0.08592628,0.04750576,0.014752461,-0.06627503,-0.18058726,-0.38836792
0.1069579,0.0738351,-0.16385137,-0.10038714,-0.062039204,-0.2695925
0.11220334,-0.1895478,0.501679,0.6738097,0.17477137,-0.21593148
0.061376527,0.08956506,0.13353437,-0.08687599,0.11443358,-0.33135977
0.12200381,-0.43560085,-0.09316945,-0.031205848,-0.1899358,0.77725196
