Original Variable,Importance
Facility Type,0.2646493444466511
Specialty,0.2458580134172798
Posted Billing Group,0.15846879832519206
Age Bracket,0.13069867272411992
Debtor Status,0.12398407794154771
ICD10 Chapter,0.07634109314520941
